sulfa	antibacterial
swindler	deceiver
prorogation	discontinuance
bruneian	bornean
publicist	communicator
dimetapp	antihistamine
photoelectron	electron
eriogonum	subshrub
defeatist	pessimist
postmistress	postmaster
grudging	resent
shopkeeper	merchant
marrano	converso
broadsheet	ad
collier	miner
glomerulonephritis	nephritis
icelander	european
cabinetmaker	woodworker
artilleryman	serviceman
newsman	communicator
moneylender	lender
less	lupus
torturer	oppressor
quinidine	antiarrhythmic
dramamine	antihistamine
aqueduct	conduit
sahib	european
outrank	excel
sulla	subshrub
wurtzite	mineral
conch	gastropod
electrotherapy	therapy
seaweed	alga
scheelite	mineral
abelia	shrub
applicability	relevance
arabic	semitic
nightdress	lingerie
rowdy	attacker
spellbinder	orator
rnase	transferase
pandemic	epidemic
pappus	calyx
wolfsbane	aconite
dominus	clergyman
untouchable	outcast
grandnephew	nephew
tuxedo	formalwear
strychnine	alkaloid
occlusive	obstruent
porcupine	rodent
guano	organic
businesswoman	businessperson
comradeship	sociability
bayer	analgesic
usurper	wrongdoer
smugness	complacency
falchion	sword
cortisol	corticosteroid
earthwork	rampart
masai	nilotic
cimetidine	antacid
plasticine	synthetic
vldl	lipoprotein
fontanelle	orifice
plasmin	enzyme
lush	drunkard
neuroscience	neurobiology
hypnotized	sedate
hajj	pilgrimage
atp	nucleotide
bayer	salicylate
autoantibody	antibody
seconal	barbiturate
mammalian	vertebrate
humidity	wetness
spinnaker	headsail
dumpster	container
goldcrest	kinglet
mourner	unfortunate
oriental	asian
utilitarianism	doctrine
intelligibility	comprehensibility
lithops	succulent
magnetohydrodynamics	hydrodynamics
naphtha	hydrocarbon
pederasty	paraphilia
redneck	rustic
lesbianism	homosexuality
sybarite	sensualist
bushbaby	lemur
culprit	wrongdoer
roadworthiness	worthiness
embezzler	thief
swordsman	combatant
fabricator	liar
liberator	benefactor
zooplankton	animal
igg	immunoglobulin
biotite	mica
defoliated	denude
vitrine	container
chloroprene	butadiene
ovum	gamete
liberian	african
helmsman	mariner
charlotte	dessert
layman	commoner
carcinoid	tumor
phenylpropanolamine	adrenergic
mauler	combatant
benadryl	antihistamine
yardie	gangster
urinalysis	diagnosis
kindergarten	preschool
vermiculite	mineral
stonecutter	quarryman
pedlar	seller
silverback	gorilla
headsman	executioner
palaeontologist	scientist
sceptic	intellectual
bahai	disciple
annoyed	displease
grassland	biome
subnormal	simpleton
opiate	narcotic
dualist	disciple
mao	enzyme
nepheline	mineral
robber	thief
plebe	trainee
wilton	rug
defoliate	denude
condom	contraceptive
lycopene	carotenoid
pichi	shrub
chapati	flatbread
guillemot	auk
demographer	sociologist
interferon	antiviral
abscond	flee
stationer	merchant
quincentenary	anniversary
bakehouse	workplace
migrant	traveler
recusant	dissenter
bicentennial	anniversary
blackshirt	fascist
animism	doctrine
pauperism	poverty
swagman	itinerant
plasticizer	softener
pekan	marten
doorjamb	jamb
printmaker	artist
nightie	nightwear
chlorofluorocarbon	pollutant
compulsivity	trait
dane	european
rower	boatman
spokesman	spokesperson
hurdler	athlete
anoxia	hypoxia
obstinate	persevere
polypeptide	peptide
theoretician	intellectual
technophobe	naysayer
wahhabi	muslim
ukranian	european
fulbe	african
fabulist	narrator
pictorial	periodical
balkan	european
pleuropneumonia	pleurisy
bridgework	denture
prosecutor	lawyer
adulteress	adulterer
rimu	conifer
popularizer	communicator
brachiopod	invertebrate
reapportion	allocate
pentecostalism	protestantism
tautog	wrasse
maxillaria	orchid
peccadillo	misbehavior
chordate	animal
drome	airfield
patentee	inventor
softie	weakling
mesothelioma	carcinoma
convolvulus	vine
prilosec	antacid
milliner	merchant
passenger	traveler
plaintiff	litigant
bloodworm	polychaete
burster	explosive
estrone	estrogen
reacquaint	familiarize
cremation	incineration
noradrenaline	catecholamine
adsorbate	sorbate
monegasque	european
hymnbook	songbook
loveseat	sofa
welcher	swindler
pernod	liqueur
congregationalism	protestantism
juggler	performer
housewife	wife
bloodsucker	annelid
humulin	insulin
acrylonitrile	nitrile
begum	muslim
agriculturist	farmer
westerner	inhabitant
propoxyphene	analgesic
tylenol	analgesic
decolletage	neckline
jacinth	zircon
medoc	bordeaux
xylose	carbohydrate
tyrannosaur	theropod
conspectus	summary
rapist	criminal
eurasian	asian
adept	expert
psychometry	psychology
frangipani	shrub
sparer	benefactor
dauphin	prince
avionics	aeronautics
alcalde	mayor
zeolite	mineral
ammo	weaponry
domine	clergyman
nanotube	fullerene
decker	artifact
entomologist	zoologist
cassiterite	mineral
gamba	viol
geologist	scientist
sissy	coward
spermatogenesis	gametogenesis
columbite	mineral
platelet	protoplasm
comptroller	businessperson
trematode	flatworm
hollander	european
latinae	subfamily
arles	earnest
phosphor	synthetic
unabridged	dictionary
oration	oratory
candlewood	shrub
angioma	angiopathy
salsa	condiment
epinephrine	vasoconstrictor
promisor	communicator
bandeau	undergarment
raconteur	narrator
blunderbuss	musket
minoan	cretan
nadp	coenzyme
buyer	customer
towhee	finch
ruffian	attacker
airscrew	propeller
lithographer	printmaker
baryon	hadron
meperidine	narcotic
ley	grassland
ubiquinone	quinone
intelligentsia	elite
worrier	spoilsport
miro	conifer
willfulness	intractability
saponin	glucoside
mountebank	deceiver
sadomasochism	masochism
backbencher	legislator
proton	nucleon
imbecile	simpleton
passionflower	vine
cordwood	firewood
penthouse	apartment
rotenone	insecticide
plausibility	credibility
expositor	intellectual
commodity	artifact
obesity	fatness
bacitracin	antibiotic
triglyceride	lipid
exarchate	diocese
multiculturalism	doctrine
testis	gonad
vanda	orchid
theophylline	bronchodilator
evacuee	migrant
heterozygote	zygote
peroxidase	oxidase
stogie	cigar
yugoslavian	european
gunpowder	explosive
alchemist	intellectual
dard	indic
turnstone	plover
phenomenology	doctrine
duma	legislature
darner	mender
fluorine	halogen
glycogen	polysaccharide
desipramine	tricyclic
involucre	bract
lobbyist	persuader
mycobacteria	eubacteria
spiritualist	psychic
neutrophil	leukocyte
nitrazepam	benzodiazepine
parsons	clergyman
streptomyces	actinomycete
braggart	egotist
solan	gannet
pathfinder	expert
sodalite	mineral
friar	religious
greengrocer	grocer
sophistry	fallacy
godwit	shorebird
tipster	adviser
kidnapper	captor
litterbug	slob
aniline	amine
oncidium	orchid
persecutor	oppressor
semiautomatic	pistol
naphthalene	hydrocarbon
chewa	african
cafeteria	restaurant
spillway	conduit
teenager	juvenile
cocci	eubacteria
bosun	mariner
junta	clique
colchicine	analgesic
effeminacy	femininity
witchcraft	sorcery
norman	frenchman
barkeeper	employee
countertop	tabletop
napalm	gasoline
laudanum	opiate
penitence	compunction
ferryman	boatman
wangler	deceiver
placental	mammal
dissertation	treatise
armagnac	brandy
esotropia	strabismus
marauder	attacker
manslaughter	homicide
forsythia	shrub
ascot	cravat
javelina	peccary
jr	son
miscreant	wrongdoer
insulin	hormone
prednisone	glucocorticoid
knockabout	sloop
plunderer	thief
recitalist	soloist
stakeholder	neutral
druze	disciple
sulfonamide	antibacterial
blancmange	dessert
methuselah	oldster
echinococcus	tapeworm
aardvark	placental
yahoo	rustic
kanamycin	antibiotic
matai	conifer
agoraphobia	phobia
springbok	gazelle
teashop	restaurant
billboard	signboard
kyanite	mineral
dracaena	agave
phosphine	pesticide
folktale	narrative
plectranthus	houseplant
ductility	malleability
sagebrush	subshrub
hirsutism	hairiness
immunoglobulin	antibody
purchaser	customer
nad	coenzyme
libyan	african
follicle	vesicle
fumigant	chemical
bookkeeper	accountant
zairean	african
styrofoam	polystyrene
murderer	criminal
modeller	creator
reallocate	allocate
moose	deer
lactose	disaccharide
blackwater	disease
newlywed	spouse
nephrite	amphibole
hymie	jew
telefilm	movie
archaeologist	anthropologist
urethane	ester
polytheist	theist
han	dynasty
earring	jewelry
ivy	vine
repentance	compunction
birdbrain	misfit
sycophancy	obsequiousness
bestower	benefactor
plugger	advertiser
auklet	auk
singlet	undergarment
oystercatcher	shorebird
hcfc	chlorofluorocarbon
amati	violin
czechoslovakian	european
salesperson	employee
paraquat	herbicide
amoxicillin	penicillin
emery	mineral
muggins	simpleton
minium	oxide
laparoscope	endoscope
orpiment	mineral
demagoguery	entreaty
psychotherapist	therapist
extraversion	sociability
methamphetamine	amphetamine
mara	rodent
trekker	traveler
alexia	aphasia
erythromycin	antibiotic
coverlet	bedspread
chloroplast	plastid
smallholder	farmer
tatu	armadillo
teratology	embryology
segregationist	bigot
stoner	attacker
eft	newt
realgar	mineral
thrombolytic	pharmaceutical
kibitzer	meddler
confidante	confidant
sociability	sociality
skateboarder	skater
criminology	sociology
laetrile	amygdalin
amylase	enzyme
human	hominid
novocain	procaine
schizophrenic	psychotic
maharaja	prince
pfc	fluorocarbon
interception	prevention
bluestone	sandstone
thankfulness	gratitude
annoy	displease
buckyball	fullerene
racialist	bigot
prosthodontics	dentistry
juror	panelist
choirboy	chorister
heparin	anticoagulant
dreadnaught	battleship
merchandise	commodity
counterespionage	counterintelligence
infrequency	scarcity
usurer	lender
salmi	ragout
bufferin	aspirin
alienist	psychiatrist
pilferage	larceny
radioisotope	isotope
blowhard	egotist
crinoid	echinoderm
jaywalker	pedestrian
levodopa	dopa
carnosaur	theropod
pita	flatbread
patriot	national
monotheism	theism
gramps	grandparent
chlorobenzene	hydrocarbon
augite	mineral
horticulturist	expert
legality	lawfulness
rote	memorization
chlorpyrifos	organophosphate
iaa	auxin
mandola	mandolin
perspire	excrete
overrate	misjudge
octogenarian	oldster
blintz	pancake
lakota	sioux
gazelle	antelope
hydroxymethyl	methyl
fencer	combatant
cfc	pollutant
ripsaw	handsaw
shang	dynasty
sundial	timepiece
greensand	sandstone
calorimetry	measurement
malayan	asian
aneroid	barometer
york	dynasty
prophylaxis	prevention
luo	nilotic
monograph	treatise
brigand	thief
commercial	ad
midshipman	cadet
whirlwind	windstorm
kudu	antelope
potentiation	synergy
arminianism	protestantism
tycoon	businessman
shearwater	petrel
junker	prussian
catalase	enzyme
subshrub	shrub
paleobotany	paleobiology
masdevallia	orchid
docility	tractability
kali	shrub
directive	pronouncement
guaranty	collateral
brainiac	intellectual
dingbat	simpleton
aflatoxin	mycotoxin
interment	funeral
collectivist	socialist
asiatic	inhabitant
polygamist	spouse
fulmar	petrel
playhouse	plaything
prosthetist	expert
tzar	sovereign
tamarisk	shrub
ndebele	nguni
legate	emissary
jemmy	crowbar
staphylococci	coccus
skua	jaeger
reliquary	container
maltreatment	mistreatment
triennial	anniversary
mica	mineral
manageability	tractability
philodendron	liana
microscope	magnifier
metronome	pendulum
methodism	protestantism
inventor	creator
rancher	farmer
digestibility	edibility
burglar	thief
glucocorticoid	corticosteroid
cloth	artifact
calliandra	shrub
eff	copulate
curmudgeon	oldster
warder	lawman
mythologist	expert
aerialist	acrobat
abbe	abbot
mandrill	baboon
contrarian	investor
hothouse	greenhouse
emotionality	trait
septicaemia	sepsis
hnd	diploma
linseed	oilseed
posterboard	cardboard
cretin	simpleton
aleurone	protein
stowaway	passenger
adjuvant	additive
electorate	citizenry
interviewer	inquirer
arteriosclerosis	sclerosis
provera	progestin
psalmist	composer
pinata	plaything
wailer	mourner
ethnographer	anthropologist
amputee	unfortunate
vasopressin	hormone
basotho	african
cheater	wrongdoer
acolyte	clergyman
dapsone	antibacterial
parcheesi	pachisi
synchrotron	cyclotron
kookaburra	kingfisher
aphorism	maxim
prospector	miner
lobotomy	psychosurgery
couturier	creator
merchant	businessperson
demeaning	humiliate
hatter	merchant
paralysis	dysfunction
prosthesis	corrective
brahma	bovine
chub	cyprinid
aflatoxin	bioweapon
beaut	exemplar
clematis	vine
amygdalin	glucoside
cheapskate	miser
lycian	anatolian
perfluorocarbon	fluorocarbon
herm	statue
sanskrit	indic
berlin	limousine
caspase	protease
matcher	mediator
blackmailer	criminal
antiproton	nucleon
nebbish	simpleton
trader	merchant
alopecia	baldness
legislator	lawgiver
showpiece	curio
punster	humorist
hydrography	oceanography
dextrose	glucose
eosin	fluorescein
bullhorn	loudspeaker
catalepsy	hypersomnia
saiga	antelope
nightgown	nightwear
hadj	pilgrimage
ergosterol	sterol
carmelite	friar
ogee	cyma
haoma	vine
haemodialysis	dialysis
businessman	businessperson
layperson	commoner
architect	creator
outlawry	illegality
psychedelia	subculture
cognac	brandy
palter	misinform
pistol	firearm
hippeastrum	amaryllis
steakhouse	restaurant
pedestrian	traveler
magnesite	mineral
placekicker	kicker
belarusian	slavic
inadmissibility	unacceptability
catamaran	sailboat
malti	semitic
disenchantment	edification
abolitionism	doctrine
contraband	merchandise
neoconservatism	conservatism
undershirt	undergarment
spiracle	orifice
edutainment	entertainment
motorway	highway
shaitan	genie
formalisation	systematization
haycock	haystack
naysayer	obstructionist
dioxin	hydrocarbon
inrush	inflow
ratepayer	taxpayer
alcazar	fortress
imipramine	tricyclic
casanova	womanizer
nuclease	enzyme
greenbrier	vine
yarrow	achillea
arbutus	shrub
abeyance	inaction
thermometry	measurement
autosome	chromosome
biologist	scientist
doula	assistant
thornbill	hummingbird
statistic	datum
hfc	fluorocarbon
maidenhair	fern
shigellosis	dysentery
muncher	chewer
incinerator	furnace
hartebeest	antelope
unbox	unpack
mignonette	reseda
phthisis	tuberculosis
agitprop	propaganda
tunicate	chordate
sanderling	sandpiper
antibiotic	antibacterial
revivalist	preacher
ripper	murderer
slaw	salad
igbo	nigerian
irrationality	insanity
minor	juvenile
mammal	vertebrate
mandamus	writ
amharic	semitic
oxytocin	hormone
badmouth	defame
vendor	merchant
geophysics	geology
propinquity	nearness
trichinosis	myositis
merchandiser	businessperson
turncoat	quitter
baryon	fermion
doofus	simpleton
sutler	supplier
barberry	shrub
vendee	customer
hydrocortisone	corticosteroid
gangplank	footbridge
phytochemical	chemical
borax	mineral
hopeful	applicant
bennie	amphetamine
courtship	entreaty
shah	sovereign
graybeard	oldster
anorthite	plagioclase
skewness	asymmetry
ungulate	placental
chlorite	mineral
pillager	thief
ige	immunoglobulin
centenary	anniversary
balking	disobey
dovecote	birdhouse
ilk	kind
nucleoprotein	protein
saran	thermoplastic
starfish	echinoderm
septuagenarian	oldster
impetuosity	impulsiveness
eurodollar	eurocurrency
bandana	handkerchief
authenticity	credibility
revivalism	evangelicalism
congregant	churchgoer
protegee	protege
childbearing	parturition
albite	plagioclase
faubourg	suburb
stickler	martinet
sorceress	sorcerer
addax	antelope
laird	landowner
letdown	dissatisfaction
moisture	wetness
noradrenaline	vasoconstrictor
doorpost	jamb
chalcopyrite	mineral
disillusioned	disappoint
astronomer	physicist
helpmate	spouse
kenning	trope
phytotherapy	therapy
qing	dynasty
carbohydrate	macromolecule
astrophysics	astronomy
rhabdomyosarcoma	sarcoma
penury	poverty
hitchhiker	passenger
maser	amplifier
showboat	steamboat
valois	dynasty
quinine	antimalarial
monism	doctrine
babinski	reflex
northman	european
emollient	toiletry
wannabe	applicant
metasequoia	conifer
inscrutability	incomprehensibility
puppeteer	performer
temazepam	benzodiazepine
potash	lye
taconite	chert
pinko	collectivist
zeaxanthin	carotenoid
rareness	scarcity
polymyositis	myositis
antimalarial	antiprotozoal
housekeeper	domestic
handgun	firearm
curandero	therapist
callousness	insensitivity
levite	jew
womaniser	libertine
centenarian	oldster
lumberyard	workplace
compsognathus	theropod
mortgagor	debtor
chicano	mexican
thievery	felony
mercer	trader
promethazine	antihistamine
methicillin	penicillin
samara	achene
musketeer	infantryman
myosin	globulin
populism	doctrine
maltose	disaccharide
glyceraldehyde	aldehyde
jakes	outbuilding
lemming	rodent
tercentenary	anniversary
acidophilus	probiotic
recco	reconnaissance
pathogen	microorganism
laggard	idler
apostate	quitter
bronchiolitis	bronchitis
liman	lagoon
ranitidine	antacid
vaulter	athlete
offeror	benefactor
ravine	valley
bolete	fungus
azithromycin	antibacterial
pinot	vinifera
tsar	sovereign
organic	fertilizer
razorbill	auk
ethnography	anthropology
seismologist	geophysicist
reflectance	coefficient
neuroma	tumor
fibber	liar
probable	applicant
stealer	criminal
ambler	pedestrian
conveyancer	lawyer
coville	shrub
perihelion	periapsis
deadbeat	debtor
pone	cornbread
photographer	artist
clergy	priesthood
ropewalk	workplace
phencyclidine	hallucinogen
chlorpromazine	phenothiazine
firebox	furnace
globetrotter	cosmopolitan
coolie	asian
screenwriter	scriptwriter
coprolite	droppings
gratefulness	gratitude
minyan	quorum
fleming	belgian
cv	summary
spaniard	european
octahedron	polyhedron
fascista	fascist
fluorspar	mineral
fiberboard	wallboard
artfulness	disingenuousness
insecticide	pesticide
ballade	poem
mesenchyme	mesoderm
prairie	grassland
earthman	inhabitant
halon	pollutant
nucleolus	organelle
sikh	disciple
microbiologist	biologist
agility	gracefulness
pinky	minimus
qin	dynasty
periodontics	dentistry
dudgeon	indignation
smiley	emoticon
paralegal	paraprofessional
librium	benzodiazepine
vaudevillian	performer
curare	alkaloid
skeptic	intellectual
cyanobacteria	eubacteria
vertebrate	chordate
wildfire	conflagration
muskat	vinifera
marmot	rodent
sudanese	african
histamine	amine
metformin	antidiabetic
buckminsterfullerene	fullerene
goldstone	sunstone
dunce	stupid
plagioclase	feldspar
strophe	stanza
collectible	curio
pinkie	minimus
allele	gene
letterman	athlete
outhouse	outbuilding
delft	earthenware
listeria	eubacteria
satanism	sorcery
brae	hillside
bulbul	nightingale
granary	storehouse
ampicillin	penicillin
publican	bartender
geophysicist	geologist
exonuclease	nuclease
hermaphrodite	bisexual
macrophage	phagocyte
desperado	criminal
mozambican	african
canoeist	boatman
rhesus	macaque
testicle	gonad
freeware	software
hemodialysis	dialysis
gruel	porridge
kurd	asian
crowberry	shrub
wrestler	combatant
charlatan	deceiver
repairman	mender
tia	ischemia
hypermarket	supermarket
calamine	mineral
codified	systematize
goner	desperate
druse	disciple
paramedic	paraprofessional
goatherd	herder
rwandan	african
yeller	communicator
stibnite	mineral
perfectionist	compulsive
attacker	wrongdoer
aloe	succulent
transferase	enzyme
anthophyllite	amphibole
hawkmoth	moth
thunderer	noisemaker
durabolin	androgen
hayseed	rustic
astrometry	astronomy
autobiography	biography
chutney	condiment
highbrow	intellectual
fakir	muslim
benzedrine	amphetamine
hypnotist	psychologist
oxidoreductase	enzyme
cooperativeness	tractability
dunderhead	stupid
wei	dynasty
poliovirus	enterovirus
tenia	headband
godson	godchild
corncrake	crake
cirio	candlewood
siltstone	sandstone
huaraches	sandal
nepalese	asian
araucaria	conifer
ishmael	unfortunate
cardia	orifice
paranoiac	psychotic
dolt	simpleton
airdrome	airfield
cutlass	sword
ribose	carbohydrate
rajah	aristocrat
ukrainian	slavic
moron	simpleton
cornpone	cornbread
psychic	occultist
kirsch	brandy
enzymology	biochemistry
ephedrine	alkaloid
geometer	mathematician
anisette	liqueur
windsor	dynasty
cation	ion
satirist	humorist
mescaline	hallucinogen
haberdasher	merchant
sphalerite	mineral
ocotillo	candlewood
unmanned	faze
aspirin	analgesic
veld	grassland
illuminance	luminosity
itraconazole	antifungal
junco	finch
revelry	merrymaking
tourist	traveler
gorse	shrub
filariasis	disease
silviculture	forestry
beigel	bun
cliche	truism
magnesia	mineral
saguaro	cactus
pentobarbital	barbiturate
diazepam	benzodiazepine
paramedical	paraprofessional
pachinko	pinball
serzone	antidepressant
positioner	actuator
tartuffe	hypocrite
khalifah	muslim
phenergan	antiemetic
antipope	pope
bronchopneumonia	pneumonia
scarred	deface
conciliator	mediator
reptilian	vertebrate
astronaut	traveler
polygyny	polygamy
hdl	lipoprotein
theatricality	artificiality
slacker	idler
sheriff	lawman
briony	vine
neomycin	antiseptic
ceftriaxone	cephalosporin
heparin	polysaccharide
stockroom	storeroom
khalif	muslim
cabinetry	carpentry
recantation	disavowal
tripoli	limestone
cpa	accountant
sufi	muslim
popover	muffin
adventist	christian
naris	orifice
trichloroethylene	ethylene
penlight	flashlight
kummel	liqueur
perjury	misdemeanor
barkeep	employee
mycoplasma	eubacteria
landlord	landowner
gumma	granuloma
chiropractor	therapist
coleslaw	salad
dinky	locomotive
originator	creator
prole	commoner
broadness	width
orography	geology
creationism	doctrine
adrenalin	neurotransmitter
thursday	weekday
abjuration	disavowal
martinet	authoritarian
goer	migrant
picador	bullfighter
archdeacon	clergyman
